19:14:22.825 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/icfmoynaxayfgk1mt0owdpqys3ndtbej0p66badn to view build report, insights, and many more debugging information all at one place!

19:16:12.549 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:16:12.559 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:16:50.702 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/g5gqtzcj92hhrprj9emfopvkgtmeefdhnjgc1egl to view build report, insights, and many more debugging information all at one place!

19:18:57.287 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:18:57.298 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:20:41.713 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:20:41.724 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:21:18.432 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/6pyi22msy11ivuiljmayfqzuxej2pgkkmfpgkjf9 to view build report, insights, and many more debugging information all at one place!

19:25:40.070 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:25:40.081 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:26:36.323 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ofmxmgmobbjkhjmaxi6ikzm5nxawjiishroce6tc to view build report, insights, and many more debugging information all at one place!

19:27:30.184 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:27:30.198 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:28:11.995 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/f1wu3ljx6pnvd1xd6awfp8kozfc8xtv9iruerqkd to view build report, insights, and many more debugging information all at one place!

19:30:58.036 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:30:58.047 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:31:36.767 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/i42mn5qhm31rus8rlwkjjy9gn6qft73zjjowtyfj to view build report, insights, and many more debugging information all at one place!

19:32:02.584 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:32:02.595 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:32:36.554 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/jnvtystk3nnrlv6msht80spo55jrlmj6xdm8qzj0 to view build report, insights, and many more debugging information all at one place!

19:34:10.565 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:34:10.576 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:34:45.566 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ez5aykroxou5uyq5ekiy7a8o7kuxkrqkqdbspe0w to view build report, insights, and many more debugging information all at one place!

